gene	log2fc	pvalue
BRCA1	2.81	0.000003
BRCA2	2.14	0.000041
TP53	-3.42	0.0000008
MYC	4.11	0.000000012
KRAS	2.67	0.000018
EGFR	3.08	0.0000023
PTEN	-2.93	0.0000051
MDM2	2.55	0.000072
RB1	-2.71	0.000009
VEGFA	2.44	0.000034
HIF1A	2.19	0.000087
CDH1	-3.17	0.0000031
VIM	2.38	0.000062
SNAI1	2.02	0.00021
CDK4	1.89	0.00043
CDK6	1.76	0.00071
CCND1	2.31	0.000095
CDKN2A	-2.62	0.000014
CDKN1A	-1.94	0.00038
CDKN1B	-1.71	0.00086
AKT1	1.83	0.00051
PIK3CA	1.67	0.00098
MTOR	1.55	0.0018
STAT3	2.08	0.00017
JAK2	1.74	0.00079
WNT5A	1.91	0.00032
CTNNB1	1.62	0.0012
NOTCH1	1.58	0.0016
ERBB2	2.89	0.0000042
ERBB3	1.44	0.0031
MET	2.11	0.00014
FGF2	1.87	0.00047
FGFR1	1.71	0.00083
IGF1R	1.63	0.0011
PDGFRA	1.52	0.0021
BCL2	1.78	0.00068
BCL2L1	1.57	0.0017
BAX	-1.89	0.00039
BAD	-1.71	0.00082
CASP3	-2.04	0.00019
CASP8	-1.88	0.00044
CASP9	-1.74	0.00077
FAS	-1.66	0.0010
FASLG	-1.48	0.0027
TNF	-1.54	0.0020
TGFB1	1.44	0.0032
TGFBR1	1.38	0.0041
SMAD2	1.31	0.0053
SMAD4	-1.42	0.0036
IL6	2.27	0.00011
IL8	2.44	0.000037
IL10	-1.61	0.0013
IL1B	1.96	0.00027
CXCL12	1.83	0.00052
CXCR4	1.76	0.00073
MMP2	2.02	0.00021
MMP9	2.18	0.00013
TIMP1	-1.67	0.00097
TIMP2	-1.53	0.0020
COL1A1	1.91	0.00033
COL3A1	1.74	0.00078
FN1	1.88	0.00046
ITGB1	1.59	0.0015
ITGAV	1.44	0.0033
ZEB1	2.13	0.000016
ZEB2	1.97	0.00026
TWIST1	2.07	0.00018
TWIST2	1.79	0.00065
E2F1	1.63	0.0011
E2F3	1.51	0.0022
PCNA	1.72	0.00081
KI67	1.88	0.00045
AURKA	1.67	0.00099
AURKB	1.74	0.00076
PLK1	1.83	0.00053
CDC20	1.91	0.00034
BIRC5	2.04	0.00020
FOXM1	2.16	0.00014
SOX2	1.54	0.0019
OCT4	1.38	0.0043
NANOG	1.27	0.0071
KLF4	1.19	0.0097
ALDH1A1	1.62	0.0013
CD44	1.74	0.00078
CD133	1.51	0.0023
EPCAM	-1.88	0.00046
CK18	-1.67	0.00098
CK19	-1.54	0.0020
AR	-2.41	0.000048
ESR1	-2.19	0.00013
PGR	-1.88	0.00046
FOXA1	-1.71	0.00084
GATA3	-1.57	0.0017
SPDEF	-1.44	0.0033
ATM	-1.83	0.00053
CHEK1	1.54	0.0020
CHEK2	-1.61	0.0013
RAD51	1.71	0.00083
PALB2	-1.44	0.0033
NBN	-1.33	0.0051
FANCA	-1.22	0.0083
DNMT1	1.57	0.0017
DNMT3A	1.43	0.0034
DNMT3B	1.31	0.0054
TET1	-1.48	0.0028
TET2	-1.36	0.0046
EZH2	2.03	0.000021
SUZ12	1.74	0.00077
BMI1	1.67	0.00099
HDAC1	1.54	0.0020
HDAC2	1.42	0.0036
SIRT1	-1.33	0.0052
CREBBP	-1.27	0.0072
EP300	-1.21	0.0088
ARID1A	-1.57	0.0017
SMARCA4	-1.44	0.0033
SETD2	-1.31	0.0053
KDM5C	-1.19	0.0098
NF1	-1.62	0.0012
NF2	-1.48	0.0028
VHL	-1.83	0.00054
TSC1	-1.44	0.0034
TSC2	-1.57	0.0017
APC	-1.88	0.00045
AXIN1	-1.38	0.0043
FBXW7	-1.62	0.0013
CUL3	-1.27	0.0071
KEAP1	-1.14	0.012
NFE2L2	1.38	0.0043
NQO1	1.26	0.0072
HMOX1	1.17	0.011
GPX1	0.87	0.041
SOD1	0.74	0.062
SOD2	0.91	0.033
CAT	0.63	0.088
TXNRD1	0.81	0.047
GSTP1	-0.74	0.064
GSTM1	-0.61	0.10
GSTT1	-0.53	0.14
CYP1A1	1.14	0.013
CYP1B1	0.97	0.024
CYP3A4	-0.83	0.044
CYP2D6	-0.69	0.077
ABCB1	1.07	0.018
ABCG2	0.94	0.028
ABCC1	0.78	0.054
SLC7A11	1.17	0.011
SLC2A1	0.93	0.030
LDHA	1.04	0.019
PKM	0.88	0.038
HK2	1.12	0.014
G6PD	0.74	0.063
FASN	1.21	0.0088
ACACA	0.97	0.025
HMGCR	0.83	0.045
ACLY	1.08	0.017
IDH1	-0.93	0.031
IDH2	-0.81	0.048
SDHA	-0.67	0.082
SDHB	-0.59	0.11
FH	-0.72	0.067
PPARG	-0.86	0.040
PPARA	-0.74	0.062
RXRA	-0.61	0.10
NCOA1	0.71	0.071
NCOA3	0.83	0.045
NFKB1	0.94	0.028
NFKBIA	-0.83	0.046
RELA	0.88	0.038
IKBKB	0.71	0.070
MAP2K1	0.74	0.063
MAP2K2	0.61	0.10
MAPK1	0.53	0.14
MAPK3	0.48	0.17
RAF1	0.67	0.083
BRAF	0.91	0.033
HRAS	0.78	0.054
NRAS	0.83	0.045
RAC1	0.61	0.10
RHOA	0.53	0.14
CDC42	0.44	0.20
SRC	1.04	0.020
YES1	0.88	0.038
FYN	0.74	0.063
LCK	0.61	0.10
ZAP70	-0.78	0.054
LYN	0.53	0.14
BTK	-0.67	0.082
ITK	-0.53	0.14
PLCG1	0.67	0.083
PLCG2	0.53	0.14
IP3R1	-0.44	0.20
RYR1	-0.36	0.28
CAMK2A	-0.48	0.18
CALM1	0.31	0.35
PKC	0.27	0.40
PRKCA	0.39	0.26
PRKCB	0.31	0.35
GRB2	0.22	0.47
SOS1	0.17	0.56
GAB1	0.27	0.40
IRS1	-0.33	0.31
IRS2	-0.27	0.40
INSR	-0.22	0.47
IGF1	0.33	0.31
IGFBP3	-0.39	0.26
IGFBP5	-0.44	0.21
GHR	-0.27	0.39
LEPR	-0.19	0.53
ADIPOQ	-0.44	0.21
LEP	-0.33	0.32
PPARGC1A	-0.57	0.12
SIRT3	-0.44	0.21
CPT1A	-0.36	0.28
ACSL4	0.31	0.35
HADHA	-0.27	0.40
ACAD9	-0.22	0.47
ETFDH	-0.17	0.56
ATP5F1A	-0.14	0.64
