gene	chr	pos	neg_log10_pvalue
Gene_5119	chr11	36114342	0.355185
Gene_1132	chr15	56987938	1.088063
Gene_3687	chr2	40313105	0.232901
Gene_5490	chr8	96237202	0.455461
Gene_6677	chr14	28461915	0.157959
Gene_5556	chr17	32446462	0.163285
Gene_3860	chr10	14160147	0.238107
Gene_7410	chr16	14379630	1.004125
Gene_6577	chr10	115768003	0.598467
Gene_1396	chr22	29630769	0.131050
Gene_2078	chr3	168783564	0.038011
Gene_5081	chr12	106423248	0.597944
Gene_6390	chr1	201811373	0.807174
Gene_3165	chr3	180803125	0.435981
Gene_1043	chr3	65639474	0.111663
Gene_5015	chr21	2726218	0.539201
Gene_1687	chr10	48209095	0.068765
Gene_6392	chr3	20583028	0.279363
Gene_7671	chr10	45420463	3.278416
Gene_0440	chr15	68628358	0.517845
Gene_0999	chr3	6252552	0.850058
Gene_3638	chr11	123910023	0.037035
Gene_4175	chr1	125606589	0.174503
Gene_2697	chr11	58668751	0.510420
Gene_5177	chr12	63991841	0.484490
Gene_7996	chr7	30275489	3.827103
Gene_7587	chr6	82692176	0.475123
Gene_2020	chr4	46628191	0.219192
Gene_0341	chr13	73495541	0.327445
Gene_3120	chr13	63080054	0.001875
Gene_6247	chr20	21970452	0.522489
Gene_0574	chr7	75585218	0.178659
Gene_6289	chr1	56179831	0.117334
Gene_7774	chr2	208791304	3.319523
Gene_3501	chr12	61418434	0.076247
Gene_0128	chr1	88148992	0.177602
Gene_4734	chr11	67033412	1.051347
Gene_0137	chrX	23431806	0.066233
Gene_2976	chr5	75283298	0.251706
Gene_3064	chr9	13050514	0.243457
Gene_5118	chr3	106048489	0.712942
Gene_5645	chr2	96440327	0.389162
Gene_5966	chr4	8775413	0.086428
Gene_6909	chr10	91629191	0.131406
Gene_1120	chr7	39895910	0.048930
Gene_2580	chr6	7972440	0.012965
Gene_1365	chr3	49266327	0.059479
Gene_4873	chr13	33694081	0.250038
Gene_5595	chr17	26209462	0.416676
Gene_1215	chr11	116720716	0.330148
Gene_3999	chr8	110084445	0.377536
Gene_7829	chr15	57277668	3.497801
